Place,Address,IsClosed,Start,End,Latitude,Longitude,Image,Seafood,Vegan-friendly,Chinese,Filipino,Italian,Japanese,Korean,Takeout,Dine-in,Delivery,Cafe,Fastfood,American,Asian,Fusion,European,International,
Bo's Coffee,"Ayala Center, Cebu City 6000 Philippines",0,10:00:00,21:00:00,10.31777256,123.904954,/location_images/Bo's_Coffee/Bos_Coffee.jpg,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,
Lighthouse Restaurant,"Gen. Maxilom Avenue, Across Land Bank, and 2nd floor, Gaisano Country Mall, Banilad, Cebu City Phils., Cebu City, Philippines",0,11:00:00,22:00:00,10.31102387,123.9027769,/location_images/Lighthouse_Restaurant/Lighthouse_Restaurant.jpg,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,
Jollibee,"M. Logarta Ave, Mandaue City, Cebu",0,0:00:00,23:59:59,10.3199492,123.9263121,/location_images/Jollibee/Jollibee.jpg,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,
McDonald's,"Osmeña Blvd, Colon St, Cebu City, Cebu",0,0:00:00,23:59:59,10.29644113,123.8983494,/location_images/McDonald's/McDonalds.jpg,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,
Burger King,"Gen Maxilom Avenue, Cor Juana Osmeña St, Cebu City, 6000 Cebu",0,0:00:00,23:59:59,10.31033885,123.8949729,/location_images/Burger_King/Burger_King.jpg,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,
Rico's Lechon,"Mantawe Ave, Tipolo, Mandaue City, Cebu",0,11:00:00,21:00:00,10.32497476,123.9320543,/location_images/Rico's_Lechon/Ricos_Lechon.jpg,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
Ribshack,"SM City Cebu Juan Luna Ave. Corner Cabahug And, Kaohsiung St, Cebu City, 6000 Cebu",0,10:30:00,21:00:00,10.31115934,123.9180815,/location_images/Ribshack/Ribshack.jpg,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,
Byron's Backribs,"2nd Floor, Robinsons Cybergate Cebu, Don Gil Garcia St, Capitol, Cebu City, 6000 Cebu",0,10:00:00,21:00:00,10.31027761,123.8920652,/location_images/Byron's_Backribs/Byrons_Backribs.jpg,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,
Boosog Restaurant,"Base Line Center, 135 Juana Osmeña St, Cebu City, 6000 Cebu",0,10:00:00,21:00:00,10.31317398,123.8944689,/location_images/Boosog_Restaurant/Boosog_Restaurant.jpg,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,
Puso Restaurant & Cafe,"Quest Hotel, Archibishop Reyes, Cebu City, 6000 Cebu",0,6:00:00,0:00:00,10.31943917,123.9029471,/location_images/Puso_Restaurant_%26_Cafe/Puso_Restaurant__Cafe.jpg,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,
Tavolata,"Design Center of 6014, A. S. Fortuna St, Mandaue City, Cebu",0,11:00:00,21:00:00,10.34153662,123.9195305,/location_images/Tavolata/Tavolata.jpg,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,
Shakey's Pizza Parlor,"F. Cabahug St, Cebu City, 6000 Cebu",0,10:00:00,21:00:00,10.32590067,123.9164556,/location_images/Shakey's_Pizza_Parlor/Shakeys_Pizza_Parlor.jpg,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,
The Coffee Bean & Tea Leaf,"Light Site, A. S. Fortuna St, Mandaue City, 6014 Cebu",0,8:00:00,20:00:00,10.34172198,123.9192039,/location_images/The_Coffee_Bean_%26_Tea_Leaf/The_Coffee_Bean__Tea_Leaf.jpg,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,
Alburs All In Pizza Burger Pasta,"Villa Aurora Tennis Court, 417 Gen. Lim St, Cebu City, 6000 Cebu",0,7:00:00,22:30:00,10.32544392,123.9114745,/location_images/Alburs_All_In_Pizza_Burger_Pasta/Alburs_All_In_Pizza_Burger_Pasta.JPG,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,
Anzani New Mediterranean Restaurant,"Veterans Dr., Nivel Hills, 6000 Cebu",0,11:30:00,23:00:00,10.33562077,123.8968672,/location_images/Anzani_New_Mediterranean_Restaurant/Anzani_New_Mediterranean_Restaurant.png,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,
The Weekend,"88th Ave, Gov. M. Cuenco Ave, Cebu City, 6000 Cebu",0,11:00:00,23:00:00,10.32784542,123.9091252,/location_images/The_Weekend/The_Weekend.jpg,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,
