Place,City/ Part of,Fee Type,is_required,audience,price,Description
Nalusuan Island,,Boat Transportation,1,General,2500,"Round Trip, 2 - 10 pax, covers 3 islands"
Hilutongan Island (Gilutongan Island),,Boat Transportation,1,General,2500,"Round Trip, 2 - 10 pax, covers 3 islands"
Hilutongan Island (Gilutongan Island),,Snorkeling,0,General,100,
Hilutongan Island (Gilutongan Island),,Scuba Diving,0,General,300,
Caohagan Island,,Boat Transportation,1,General,2500,"Round Trip, 2 - 10 pax, covers 3 islands"
Caohagan Island,,Entrance,1,General,200,Inclusive of environmental Fee
Caohagan Island,,Cottage Rental,0,General,100,
Taboan Public Market,,Entrance,1,General,0,
Colon Street,,Entrance,1,General,0,
Plaza Independencia,,Entrance,1,General,30,
Olango Islands,,Entrance,1,General,20,
San Vicente Marine Sanctuary,,Entrance,1,General,30,
Orchids Gallery,,Entrance,1,General,20,
Orchids Gallery,,Swimming,0,General,50,
SeaQuest Dive Center,,Single Boat Dive,0,General,1750,
SeaQuest Dive Center,,Snorkeling Gear,0,General,100,
SeaQuest Dive Center,,Entrance,1,General,0,
Cambais Falls,,Entrance,1,General,50,
Green Mosque,,Entrance,1,General,0,
Inambakan Falls,,Entrance,1,General,50,
Alegria Heritage Park,,Entrance,1,General,0,
Malapascua Light House,,Entrance,1,General,0,
Cuartel Ruins,,Entrance,1,General,0,
Capila de Sta. Ana,,Entrance,1,Local Guests,100,
Capila de Sta. Ana,,Entrance,1,Students,50,
Capila de Sta. Ana,,Entrance,1,Foreigners,200,
Archdiocesan Museum of Cebu,,Entrance,1,General,50,
OAD Tabor Hill,,Entrance,1,General,0,
